date,coin,price_in_usd
2/12/2012,BITCOIN,5.519097169
2/13/2012,BITCOIN,5.348354559
2/14/2012,BITCOIN,4.483654092
2/15/2012,BITCOIN,4.325520322
2/16/2012,BITCOIN,4.255239045
2/17/2012,BITCOIN,4.391538373
2/18/2012,BITCOIN,4.270081278
2/19/2012,BITCOIN,4.389551458
2/20/2012,BITCOIN,4.365135939
2/21/2012,BITCOIN,4.315115602
2/22/2012,BITCOIN,4.419310288
2/23/2012,BITCOIN,5.039515118
2/24/2012,BITCOIN,5.025608759
2/25/2012,BITCOIN,4.772567381
2/26/2012,BITCOIN,4.926420852
2/27/2012,BITCOIN,4.952515756
2/28/2012,BITCOIN,4.857257776
2/29/2012,BITCOIN,4.872748756
3/1/2012,BITCOIN,4.922072124
3/2/2012,BITCOIN,4.714823587
3/3/2012,BITCOIN,4.628193252
3/4/2012,BITCOIN,4.834144482
3/5/2012,BITCOIN,4.982392904
3/6/2012,BITCOIN,4.987841352
3/7/2012,BITCOIN,4.949112885
3/8/2012,BITCOIN,4.934979495
3/9/2012,BITCOIN,4.872297847
3/10/2012,BITCOIN,4.841423805
3/11/2012,BITCOIN,4.892028752
3/12/2012,BITCOIN,4.910839379
3/13/2012,BITCOIN,5.290880279
3/14/2012,BITCOIN,5.390543292
3/15/2012,BITCOIN,5.340820899
3/16/2012,BITCOIN,5.339574791
3/17/2012,BITCOIN,5.236003554
3/18/2012,BITCOIN,5.270148985
3/19/2012,BITCOIN,4.678672553
3/20/2012,BITCOIN,4.830830216
3/21/2012,BITCOIN,4.817229525
3/22/2012,BITCOIN,4.729608505
3/23/2012,BITCOIN,4.691643177
3/24/2012,BITCOIN,4.651986266
3/25/2012,BITCOIN,4.552270262
3/26/2012,BITCOIN,4.63272236
3/27/2012,BITCOIN,4.811340735
3/28/2012,BITCOIN,4.790589392
3/29/2012,BITCOIN,4.794066572
3/30/2012,BITCOIN,4.861409357
3/31/2012,BITCOIN,4.889776873
4/1/2012,BITCOIN,4.793325677
4/2/2012,BITCOIN,4.983045479
4/3/2012,BITCOIN,4.956233193
4/4/2012,BITCOIN,4.917842178
4/5/2012,BITCOIN,4.920849245
4/6/2012,BITCOIN,4.949107432
4/7/2012,BITCOIN,4.70971191
4/8/2012,BITCOIN,4.778818849
4/9/2012,BITCOIN,4.852547381
4/10/2012,BITCOIN,4.841417594
4/11/2012,BITCOIN,4.915250717
4/12/2012,BITCOIN,4.901158147
4/13/2012,BITCOIN,4.934406733
4/14/2012,BITCOIN,4.956364661
4/15/2012,BITCOIN,4.961600338
4/16/2012,BITCOIN,4.950764569
4/17/2012,BITCOIN,4.968744508
4/18/2012,BITCOIN,5.124377443
4/19/2012,BITCOIN,5.130906511
4/20/2012,BITCOIN,5.366515968
4/21/2012,BITCOIN,5.282550339
4/22/2012,BITCOIN,5.195608995
4/23/2012,BITCOIN,5.110888192
4/24/2012,BITCOIN,5.087867262
4/25/2012,BITCOIN,5.148816245
4/26/2012,BITCOIN,5.097419286
